"","V1","V2","V3","V4","V5"
"4076",19253.82,0.55,0.55,357.05,1849.3
"4077",19063.29,0.55,0.55,350.59,1846.27
"4078",19257.05,0.55,0.55,357.19,1849.38
"4079",19301.81,0.55,0.55,359.18,1850.56
"4080",19467.59,0.54,0.54,364.54,1852.88
"4081",18311.63,0.57,0.57,319.21,1827.91
"4082",18400.02,0.57,0.57,321.13,1828.35
"4083",18430.13,0.57,0.57,322.47,1829.17
"4084",18506.56,0.57,0.56,323.86,1829.27
"4085",18351.48,0.57,0.57,318.97,1827.01
"4086",18469.89,0.57,0.57,322.23,1828.26
"4087",18561.94,0.57,0.56,326.32,1830.78
"4088",18686.06,0.56,0.56,329.83,1832.15
"4089",19159.83,0.55,0.55,354.87,1848.82
"4090",19282.81,0.55,0.55,358.33,1850.06
"4091",19264.19,0.55,0.55,357.51,1849.57
"4092",19373.64,0.55,0.54,360.37,1850.44
"4093",19169.7,0.55,0.55,353.31,1847.08
"4094",19312.06,0.55,0.55,357.63,1848.83
"4095",19325.44,0.55,0.55,358.23,1849.18
"4096",19472.38,0.54,0.54,362.75,1851.01
"4097",13489.62,0.68,0.68,119.06,1687.27
"4098",14035.65,0.67,0.66,141.31,1705.35
"4099",13670.71,0.68,0.67,125.11,1692.02
"4100",14162.3,0.67,0.66,144.94,1707.89
"4101",13494.29,0.68,0.68,117.27,1685.44
"4102",14038.08,0.67,0.66,139.42,1703.43
"4103",13683.4,0.68,0.67,123.67,1690.49
"4104",14169.93,0.67,0.66,143.28,1706.16
"4105",13804.59,0.68,0.67,131.05,1696.95
"4106",14403.59,0.66,0.66,155.65,1716.44
"4107",13991.3,0.67,0.67,137.34,1701.75
"4108",14532.8,0.66,0.65,159.39,1718.96
"4109",13804.75,0.68,0.67,129.06,1694.95
"4110",14403.73,0.66,0.66,153.66,1714.45
"4111",13994.58,0.67,0.67,135.49,1699.86
"4112",14533.49,0.66,0.65,157.42,1716.98
"4113",14140.31,0.67,0.66,145.96,1709.11
"4114",14629.78,0.66,0.65,165.7,1724.32
"4115",14344.43,0.66,0.66,153.02,1714.36
"4116",14777.91,0.65,0.65,170.28,1727.42
"4117",14228.96,0.67,0.66,147.9,1710.27
"4118",14702.33,0.66,0.65,166.92,1724.83
"4119",14468.66,0.66,0.66,156.54,1716.72
"4120",14879.08,0.65,0.65,172.77,1728.87
"4121",14429.31,0.66,0.66,156.79,1717.34
"4122",14968.17,0.65,0.64,178.72,1733.9
"4123",14638.68,0.66,0.65,164.09,1722.63
"4124",15118.4,0.65,0.64,183.4,1736.95
"4125",14486.66,0.66,0.65,157.34,1717.35
"4126",15009.94,0.65,0.64,178.58,1733.31
"4127",14725.26,0.66,0.65,165.94,1723.62
"4128",15182.45,0.64,0.64,184.24,1737.09
"4129",20260.74,0.53,0.52,417.76,1891.09
